DateTime,Date,Close,Company
3/11/2024 15:00:00,3/11/2024,85.30,Al Rajhi Bank
3/12/2024 15:00:00,3/12/2024,85.60,Al Rajhi Bank
3/13/2024 15:00:00,3/13/2024,86.90,Al Rajhi Bank
3/14/2024 15:00:00,3/14/2024,86.20,Al Rajhi Bank
3/17/2024 15:00:00,3/17/2024,85.10,Al Rajhi Bank
3/18/2024 15:00:00,3/18/2024,85.10,Al Rajhi Bank
3/19/2024 15:00:00,3/19/2024,85.10,Al Rajhi Bank
3/20/2024 15:00:00,3/20/2024,84.20,Al Rajhi Bank
3/21/2024 15:00:00,3/21/2024,88.00,Al Rajhi Bank
3/24/2024 15:00:00,3/24/2024,88.20,Al Rajhi Bank
3/25/2024 15:00:00,3/25/2024,85.10,Al Rajhi Bank
3/26/2024 15:00:00,3/26/2024,84.50,Al Rajhi Bank
3/27/2024 15:00:00,3/27/2024,84.30,Al Rajhi Bank
3/28/2024 15:00:00,3/28/2024,83.10,Al Rajhi Bank
3/31/2024 15:00:00,3/31/2024,82.30,Al Rajhi Bank
4/1/2024 15:00:00,4/1/2024,81.50,Al Rajhi Bank
4/2/2024 15:00:00,4/2/2024,82.20,Al Rajhi Bank
4/3/2024 15:00:00,4/3/2024,84.40,Al Rajhi Bank
4/4/2024 15:00:00,4/4/2024,84.50,Al Rajhi Bank
4/14/2024 15:00:00,4/14/2024,83.30,Al Rajhi Bank
4/15/2024 15:00:00,4/15/2024,82.80,Al Rajhi Bank
4/16/2024 15:00:00,4/16/2024,80.40,Al Rajhi Bank
4/17/2024 15:00:00,4/17/2024,80.50,Al Rajhi Bank
4/18/2024 15:00:00,4/18/2024,80.60,Al Rajhi Bank
4/21/2024 15:00:00,4/21/2024,79.10,Al Rajhi Bank
4/22/2024 15:00:00,4/22/2024,78.60,Al Rajhi Bank
4/23/2024 15:00:00,4/23/2024,78.70,Al Rajhi Bank
4/24/2024 15:00:00,4/24/2024,78.60,Al Rajhi Bank
4/25/2024 15:00:00,4/25/2024,77.50,Al Rajhi Bank
4/28/2024 15:00:00,4/28/2024,78.60,Al Rajhi Bank
4/29/2024 15:00:00,4/29/2024,80.30,Al Rajhi Bank
4/30/2024 15:00:00,4/30/2024,79.90,Al Rajhi Bank
5/1/2024 15:00:00,5/1/2024,79.90,Al Rajhi Bank
5/2/2024 15:00:00,5/2/2024,79.80,Al Rajhi Bank
5/5/2024 15:00:00,5/5/2024,81.00,Al Rajhi Bank
5/6/2024 15:00:00,5/6/2024,80.30,Al Rajhi Bank
5/7/2024 15:00:00,5/7/2024,80.80,Al Rajhi Bank
5/8/2024 15:00:00,5/8/2024,80.30,Al Rajhi Bank
5/9/2024 15:00:00,5/9/2024,79.50,Al Rajhi Bank
5/12/2024 15:00:00,5/12/2024,79.00,Al Rajhi Bank
5/13/2024 15:00:00,5/13/2024,78.90,Al Rajhi Bank
5/14/2024 15:00:00,5/14/2024,79.80,Al Rajhi Bank
5/15/2024 15:00:00,5/15/2024,80.10,Al Rajhi Bank
5/16/2024 15:00:00,5/16/2024,80.20,Al Rajhi Bank
5/19/2024 15:00:00,5/19/2024,80.00,Al Rajhi Bank
5/20/2024 15:00:00,5/20/2024,79.80,Al Rajhi Bank
